name,address,phones,cuisine,category,working_hours,avg_cost_2_people,features,description,facebook,instagram,twitter,foursquare,email,latitude,longitude,images,url
Mala Praga,"Babək pr 56, Xətai r-nu",012 5704242,Avropa; Azərbaycan,Restoranlar,10:00-00:00,35-55,Banketlərin qəbulu; Canlı musiqi; Fon musiqisi; Masaların sifarişi,"""Mala Praqa"" restoranı özünə görə Çexiyanın Bakıda güşəsinə çevrilmiş yeganə məkandır. Bizim müştərilərimiz Praqanın ecazkar gözəlliyini,dünyada məhşur olan Çex texnologiyası və Çex arpası ilə istehsal olunan müxtəlif növ pivələrin yalnız və yalnız Babək pr 56-da yerləşən Mala Praqa restoranında dada bilərlər. Menyuya öz qeyriadiliyi ilə seçilən Milli və Avropa mətbəxi ilə yanaşı,klassik Çex mətbəxidə daxildir.Klassik üslubda yaradılmış mühit sizlərin hər birinizi valeh edəcək.",https://www.facebook.com/pages/Mala-Praga/294419953932465?sk=timeline,,,http://4sq.com/w9yrEj,,40.392448,49.918854,https://bakuguide.com/images/places/456/mala-praga-1.png; https://bakuguide.com/images/places/456/mala-praga-2.png; https://bakuguide.com/images/places/456/mala-praga-3.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/456-mala-praga
Maide,"Mirzəbala Əhmədzadə 3/38, Nərimanov r-nu",012 5111018; 055 808012,Fast food; Türk,Restoranlar,08:00-00:00,,Fon musiqisi; Take Away,Türk mətbəxinin ləziz təamlarının dadına Maidə Restoranında baxa bilərsiniz.,https://www.facebook.com/pages/Maide-restoran/191166967570068?fref=photo,,,,,40.400352,49.8721195,https://bakuguide.com/images/places/457/maide-1.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/457-maide
Latte,"Hacı Zeynalabdin Tağıyev 16/18, Sabail küçəsi",012 4931530,,Restoranlar,09:00 - 23:00,,,,,,,,,,,,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/458-latte
Jo-Ju,"Müzəffər Nərimanov küçəsi 25, Nərimanov r-nu",012 5124003; 055 6710022; 070 9430737,Amerika; İtaliya; Meksika; Rus; Türk,Restoranlar,11:00-00:00,,Fon musiqisi; Take Away,"Səs-küydən uzaqlaşmaq, sevdiklərinizlə istrahət etmək istəyirsinizsə Jo Ju restoranının seçməlisiniz. Burada siz  mətbəxinin ləziz təamlarını dada bilərsiniz.",,,,,,,,https://bakuguide.com/images/places/459/jo-ju-1.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/459-jo-ju
La Marrakesh 1,"Cəfərov qardaşları 9, Səbail r-nu",012 4926872; 012 5117796; 050 4903434,Beynəlmiləl,Restoranlar,13:00 - 00:00,,Fon musiqisi; İçkilər; Masaların sifarişi,"Şərq mədəniyyətinin bütün estetikası və rəngarəngliyi bu məkanda əks olunub. Əsl Morokko üslublu məkanda qonaqlar rahat və qonaqpərvər şəraitdə cürbəcür yeməklərdən zövq ala bilərlər. Dəniz kənarında yay divanlarında əyləşərək dostlar əhatəsində yaxşı vaxt keçirə bilərsiniz. Bizdə həmçinin cazibədar rəqqasələrin iştirakı ilə şou -proqramlar keçirilir. ""La Marakesh"" keçirdiyiniz axşam yaddaşlarınızdan uzun müddət silinməyəcək!",,,,,,40.3661071,49.8262502,,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/461-la-marrakesh-1
La Marrakesh 2,"Mərdəkan qəsəbəsi, Xəzər r-nu",050 2112606; 050 4768668,Beynəlmiləl,Restoranlar,14:00 - 00:00,25-30,Fon musiqisi; İçkilər; Masaların sifarişi,"Şərq mədəniyyətinin bütün estetikası və rəngarəngliyi bu məkanda əks olunub. Əsl Morokko üslublu məkanda qonaqlar rahat və qonaqpərvər şəraitdə cürbəcür yeməklərdən zövq ala bilərlər. Dəniz kənarında yay divanlarında əyləşərək dostlar əhatəsində yaxşı vaxt keçirə bilərsiniz. Bizdə həmçinin cazibədar rəqqasələrin iştirakı ilə şou -proqramlar keçirilir. ""La Marakesh"" keçirdiyiniz axşam yaddaşlarınızdan uzun müddət silinməyəcək!",,,,,,40.4887861,50.1502692,,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/462-la-marrakesh-2
Korchma,28 May küçəsi 3,012 4083821; 050 7262421,Ukrayna,Restoranlar,11:00 - 00:00,,Biznes lanç; Canlı musiqi; Wi-Fi; Masaların sifarişi; Sərbəst Wi-Fi,"Əziz Bakılılar və şəhərimizin qonaqları, yeni açılmış Ukrayna mətbəxi restoranı  Korchma sizi unudulmaz istirahət dəqiqələri keçirməyə çağırır! Ukrayna milli məişət üslublu abu -hava, canlı folklor musiqisi, o cümlədən ən yaxşı Ukrayna ənənələrinə uyğun təqdim edilmiş mətbəx sizi laqeyd qalmağa qoymayacaq və bu məkan istirahət etmək üçün sevimli yerinizə çevriləcək...",,,,,,40.3754944,49.8445684,https://bakuguide.com/images/places/469/korchma-1.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/469-korchma
Kalinka,"Azadlıq pr., m. 28 May, ""28 Mall"" Ticarət Mərkəzi (4-cü mərtəbə)",012 7310693,Rus,Restoranlar,10:00-22:00,,Fon musiqisi; İçkilər; Wi-Fi; Take Away,,https://www.facebook.com/KALINKA.BAKU,,,http://4sq.com/YIFRur,,40.379004,49.84682,https://bakuguide.com/images/places/471/kalinka-1.jpg; https://bakuguide.com/images/places/471/kalinka-2.jpg,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/471-kalinka
IL Patio,"Neftçilər prospekti, Park Bulvar III mərtəbə",012 5987398; 070 5987398,İtaliya; Yapon,Restoranlar,11:00-00:00,15-20,Fon musiqisi; İçkilər; Yay terrası; Wi-Fi; Masaların sifarişi; Take Away; Sushi bar,"""IL Patio""nun menyusuna ətli, dəniz məhsulları və tərəvəzli yeməklər daxildir. Burada rahat ev ab-havası münasib qiymətlərlə vəhdət təşkil edir. Məhz buna görə ""IL Patio""da dostlarla, kolleqalarla vaxt keçirmək və ailəvi istirahət etmək bu qədər bu qədər xoşdur.",https://www.facebook.com/pages/IL-PATIOBaku/119919734758022,,,http://4sq.com/ePfSWS,,40.370494,49.837675,https://bakuguide.com/images/places/475/il-patio-1.png; https://bakuguide.com/images/places/475/il-patio-3.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/475-il-patio
Dalida De Luxe,"Fəvvarələr meydanı, Nargiz Mall, 3-cü mərtəbə",012 4968861; 055 657 46 17,Avropa,Restoranlar,10:00 - 01:00,25-35,Biznes lanç; Canlı musiqi; Fon musiqisi; İçkilər; Wi-Fi; VİP otaq; Kredit kartla ödəniş; Masaların sifarişi; Sərbəst Wi-Fi,"Yay vaxtı rahat divanlarda oturmaq çox xoşdur. Meqopolisin mərkəzində yüksəlmək və geniş örtüklər altında günəş şüalarından gizlənmək imkanı hər kəsi cəlb edir. Sürprizlər sizə menyu təqdim olunduqdan sonra başlayır. Hər bir yemək haqqında məlumatın yanında onun şəkili də var. Ən əsası da odur ki, sizə gətirilən yemək şəkildəki ilə üst-üstə düşür. Sərinləşdirici və spirtli içkilərin geniş çeşidi müxtəlif ət, toyuq, balıq yeməklərinə əlavədir.",https://www.facebook.com/Dalida.De.Luxe.Official?fref=ts,,,http://4sq.com/hvaYQF,,40.371775,49.837388,https://bakuguide.com/images/places/477/dalida-de-luxe-1.png; https://bakuguide.com/images/places/477/dalida-de-luxe-2.png; https://bakuguide.com/images/places/477/dalida-de-luxe-3.png; https://bakuguide.com/images/places/477/dalida-de-luxe-4.png; https://bakuguide.com/images/places/477/dalida-de-luxe-5.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/477-dalida-de-luxe
Pəncərə,"Azad Mirzəyev küçəsi, ev 583 Baku, Azerbaijan",(012) 510 37 00,Avropa; Azərbaycan,Restoranlar,17:00 - 23,25-30,Canlı musiqi; Fon musiqisi; İçkilər; Yay terrası; Kredit kartla ödəniş,"Kərpic hasarlı ""Pəncərə"" restoranı yaşıllıqlarla dolu koloritli həyəti təkcə gözləri sevindirmir, həm də yay istisində təravətlik gətirir. Burada böyük bağlı zal və yay terrası fəaliyyət göstərir. Rahat çardaqda səs -küylü şəhərdən dincəlmək və mənzərəli şəhərkənarı atmosferdə dincəlməkdən zövq alacaqsınız. Restoranın rəngarəng menyusunda Avropa və Azərbaycan mətbəxinin yeməkləri təqdim olunur.",https://www.facebook.com/pencererestoran/,,,http://4sq.com/etQob0,,40.385691,49.822031,https://bakuguide.com/images/places/478/pencere-1.png; https://bakuguide.com/images/places/478/pencere-2.png; https://bakuguide.com/images/places/478/pencere-3.png; https://bakuguide.com/images/places/478/pencere-4.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/478-pencere
Halikarnas,"Hövsan qəsəbəsi, Qum adası",012 4799688; 050 5524202; 055 5524202,Avropa; Azərbaycan; Balıq menyusu,Restoranlar,10:00-02:00,,Biznes lanç; Canlı musiqi; Fon musiqisi; İçkilər; Yay terrası; VİP otaq; Kredit kartla ödəniş; Masaların sifarişi; Sigaret çəkməyən və çəkənlər üçün masalar,"Xəzərin sahilindəki Qum adasında yer alan restoran 2010-cu ildə xidmətə açılıb. HALİKARNAS BALIKÇISI 200 nəfərlik qış salonu, 500 nəfərlik həyəti, 11 xüsusi dizaynlı V.I.P otaq, 200 nəfərlik banket salonu və 4 ədəd delux salon ilə geniş bir ərazini əhatə edir. Məkan, həftənin hər günü saat 12:00-dan gecə 02:00 arası sizlərin xidmətdədir. Halikarnas Balıkçısı xüsusilə balığın bol olduğu qış aylarında balıq sevənlərin sevimli məkanına çevrilir.
Məkanın ən çox seçilən yeməkləri arasında beluga və asatrin kürüsü, asatrin balıq dolması, duzda balıq, paella, kraliça balıq və daha bir çox əvəzsiz ləzzətlər yer alır. Halikarnas Balıkçısındabişirilən balıqlar Türkiyənin balıq cənnəti olan Mərsin, Antalya və Ayvalıq bölgələrindən İstanbula toplanaraq təyyarəylə təzə və canlı şəkildə ölkəmizə çatdırılır. 
Halikarnas Balıkçısı sadəcə ən yaxşı balıq yeyə biləcəyiniz yer deyil, həm də xüsusi qonaqlarınızı dəvət edə biləcəyiniz, iş toplantılarınızı təşkil edə biləcəyiniz balıq restoranı olması ilə seçilir.",https://www.facebook.com/pages/Halikarnas/754233714641405?sk=timeline,,,,,40.3696976,50.0864067,https://bakuguide.com/images/places/482/halikarnas-1.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/482-halikarnas
Gülüstan,İstiqlaliyyət küçəsi 1,012 4924232; 012 4924536; 012 4926767,,Restoranlar,,,,,,,,,,,,,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/483-gulustan
Gorodok,"Abdulla Şaiq küçəsi 245 A, Yasamal r-nu",055 2342484; 012 4802530; 050 2342484; 012 5371250,Avropa; Azərbaycan; Qafqaz; Rus,Restoranlar,12:00 - 00:00,,Banketlərin qəbulu; Biznes lanç; Canlı musiqi; Çatdırılma; Fon musiqisi; İçkilər; Wi-Fi; Masaların sifarişi; Park xidməti,"Rus, Azərbaycan, Qafqaz, Avropa mətbəxinin ləziz təamlarının dadına baxmaq və dostlarınızla gözəl vaxt keçirmək üçün bizim restoranı seçə bilərsiniz. Restoran hər gün saat 13:00-dan gecə saat 02:00-a qədər sizlərin xidmətindədir.",https://www.facebook.com/restoran.qorodok/timeline,,,,,40.3814448,49.8239131,https://bakuguide.com/images/places/486/gorodok-1.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/486-gorodok
Nənəmgildə,"Bül-Bül pr., 59",012 5972607,,Restoranlar,,,,,,,,,,,,,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/487-nenemgilde
Fincan,"Ə.Ələkbərov küç., 522",012 5108855; 050 7400088,Avropa; Balıq menyusu,Restoranlar,11:00-00:00,10-15,Fon musiqisi; İçkilər; Wi-Fi; VİP otaq; Kredit kartla ödəniş; Masaların sifarişi; Sigaret çəkməyən və çəkənlər üçün masalar,"Müştərini dinləmək, sifariş qəbul etmək, vaxtında xidmət göstərmək və müştərini razı salmaq - Fincan restoranının şüarı budur. Rahat ab-hava, sakitləşdirici tonlarda tərtib edilmiş interyer qonaqlara şəhərin səs-küyündən dincəlməyə kömək edəcək. Menyuda təqdim edilən ləzzətli yeməklər qonaqlarımızı razı salacaq. Şərab sevənlər üçün nadir şərab xəritəsi. Geniş çeşidli kokteyllər, zəngin ətirli qəhvə seçimi və əlbəttə ki, ən dadlı çay!",https://www.facebook.com/pages/Fincan-Restoran/661425817308003?sk=timeline,,,,,40.368994,49.81828,https://bakuguide.com/images/places/489/fincan-1.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/489-fincan
Coffeeshop Company,"Rəsul Rza küç., 27",055 9110303; 051 9110303; 077 6110303,,Restoranlar,,,Fon musiqisi; İçkilər,Ən rahat kafedə ən dadlı qəhvə!,https://www.facebook.com/coffeeshop.company.az/timeline,,,,,40.3720361,49.8391482,https://bakuguide.com/images/places/492/coffeeshop-company-1.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/492-coffeeshop-company
Pitstop - kafe,M. H. Naxçivani 15 (6-cı parallel),012 4367554; 050 2084454,Avropa,Kafelər,10:00-23:00,15-25,Banketlərin qəbulu; Biznes lanç; Çatdırılma; Wi-Fi; Səhər yeməyi; Kredit kartla ödəniş; Masaların sifarişi; Sərbəst Wi-Fi,"Kafe rahat interyer və xoş mühit ilə fərqlənir. Yormayan musiqi və gülərüz heyət bizim məkanı qeyri -adi edir. Müştərilərimizə sadəcə yeməklərin geniş seçimi deyil, həm də münasib qiymət, sürətli çatdırılma, fərdi yanaşma təklif edirik.",https://www.facebook.com/pitstop2008/,,,http://4sq.com/a11BFR,,40.383384,49.826136,https://bakuguide.com/images/places/496/pitstop-kafe-1.jpg; https://bakuguide.com/images/places/496/pitstop-kafe-2.jpg; https://bakuguide.com/images/places/496/pitstop-kafe-3.jpg,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/496-pitstop-kafe
AFK,"Süleyman Rəhimov 309, Nəsimi r-nu,  World Business Center 19-cu mərtəbə",012 5974855; 012 5974856; 012 5974857,,Restoranlar,09:00 - 18:00,,,,,,,,,,,,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/500-afk
Alsana,"İnşaatçılar pr. 38, Yasamal r-nu",051 5161345; 012 4369963,,Restoranlar,10:00 - 21:00,,,,,,,,,,,,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/505-alsana
Amor Pizza,"Rövşən Əliyev küçəsi, 10, Xətai r-nu",012 5111817; 051 5111817,,Restoranlar,,,,,,,,,,,,,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/508-amor-pizza
Daşlı Gala,"Nizami küç., 42",012 5981798,Avropa; Azərbaycan,Restoranlar,11:00-00:00,20,Biznes lanç; Fon musiqisi; İçkilər; Wi-Fi; Qəlyan; Park xidməti,Azərbaycan və Avropa mətbəxinin ləziz təamlarına Daşlı Qala restoranında baxa bilərsiniz. Burada siz özünüzün və ya övladlarınızın xoş günlərini keçirə bilərsiniz. Unudulmaz xına mərasimi keçirmək istəyənlər tərəddüt etmədən bizə müraciət edə bilərlər.,https://www.facebook.com/ShouDiskoteka/timeline,,,,,40.3782633,49.8584649,https://bakuguide.com/images/places/534/dasli-gala-1.png; https://bakuguide.com/images/places/534/dasli-gala-2.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/534-dasli-gala
Damla,"Salyan şossesi, 14-cü km",012 5651965; 050 2703707,Fast food; İtaliya; Meksika; Rus,Restoranlar,,20-30,Fon musiqisi; Take Away,"""Damla"" restoranı şəhərciyin ayrılmaz hissəsidir. Restoran 150 nəfəri eyni zamanda qəbul edə bilir. Burada hovuz üzərində yay restoranıda fəaliyyət göstərir. Bizim daimi qonaqlarımız üçün xüsüsi endirim kartı da mövcüddür. Belə ki siz istənilən vaxt güzəştlə yemək yeyə bilərsiniz. Yeməklərimiz Milli və Avropa mətbəxini özündə birləşdirir. Bizim aşbazların hazırladığı yeməklər ən incəzövqlü qurmanların yaddaşında unudulmaz dad buraxacaq. əyər özünüzü ev istisində hiss etmək istəyirsinizsə, rahat kabinetlərdən istifadə edə bilərsiniz. Uşaqlar üşün isə ayrı otaq və hovuz kənarında meydança mövcuddur. Sizi qonaqlarımız sırasında gözləyirik.",https://www.facebook.com/pages/Damla-_-Restaurant-/108359182564764?sk=timeline,,,,,40.2929232,49.7474241,https://bakuguide.com/images/places/535/damla-1.png; https://bakuguide.com/images/places/535/damla-2.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/535-damla
Daxma Restaurant & Pub,"İstiqlaliyyət küç., 31",012 4924733,,Restoranlar,,,,,,,,,,,,https://bakuguide.com/images/places/536/daxma-restaurant-pub-1.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/536-daxma-restaurant-pub
Dragon,"S.Vürğun küç., 25",012 4932112,,Restoranlar,,,,,,,,,,,,,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/537-dragon
Dubrovka,"Qara Qarayev küç., 59",012 3750301; 050 7521212,Azərbaycan; Rus,Restoranlar,12:00-24:00,10-20,Banketlərin qəbulu; Canlı musiqi; Fon musiqisi; İçkilər; Wi-Fi; Masaların sifarişi,"Azərbaycan və rus mətbəxi restoranı Dubrovka sizi əla vaxt keçirməyə dəvət edir. Restoranın interyeri qədim rus üslubunda tərtib edilib. Bütün mebellər təbii ağacdan -göyrüş və şam ağacından hazırlanıb. Axşamlar qonaqlarımız üçün canlı musiqi səsləndirilir. Burada dostlar əhatəsində yaxşı vaxt keçirmək üçün hər bir şərait var: kamin, ləzzətli yeməklər, sadəlik, interyerin özünəməxsusluğu və yüksək xidmət.",https://www.facebook.com/pages/Restoran-Dubrovka/347686341967933?fref=ts,,,http://4sq.com/11uyLNW,,40.402749,49.948691,https://bakuguide.com/images/places/538/dubrovka-1.jpg; https://bakuguide.com/images/places/538/dubrovka-2.jpg; https://bakuguide.com/images/places/538/dubrovka-3.jpg; https://bakuguide.com/images/places/538/dubrovka-4.jpg,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/538-dubrovka
Eriste,"Qəzənfər Əlizadə küç., 6/8",012 4989509,,Restoranlar,,,,,,,,,,,,,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/542-eriste
Everest,Nəriman Nərimanov küç.,012 5371093,Avropa; Azərbaycan,Restoranlar,10:00-02:00,10-12,Biznes lanç; Fon musiqisi; İçkilər; Yay terrası; Kredit kartla ödəniş; Masaların sifarişi; Qəlyan,"Restoran sərhədsiz imkanlara malikdir və balaca bir qonaqlıqla yanaşı, banketlər təşkil edərək çoxsaylı qonaqları razı sala bilər. Məkanın rəngarəngliyi Sizə özünüz üçün rahat bir məkan seçməyinizə imkan verəcək: həm birinci, həm də ikinci otaq özünə görə yaxşıdır. Birinci mərtəbə rahat və dəbli işıqlandırma ilə bu hissəni təcrid olunmuş və daha səmimi edir, ikinci mərtəbə isə işıqlıdır və çox komfortludur. Yay vaxtları siz restoranın açıq hava terrasında dincələ bilərsiniz.",,,,http://4sq.com/ijIESu,,40.3748443,49.8238546,https://bakuguide.com/images/places/544/everest-1.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/544-everest
Flagman 2,"Novxanı qəs., Sarıqaya küç., 4",050 3273003,Avropa; Azərbaycan,Restoranlar,11:00-00:00,,Canlı musiqi,"Dəniz qırağında  gözəl zaman keçirmək, Avropa və milli mətbəxin ləziz təamlarını dadmaq üçün Flagman restoranı əla seçimdir. Burada siz axşamlar canlı musiqi dinləyərək günü unudulmaz sonluqla başa vuracaqsınız.",,,,,,40.5215473,49.7826879,https://bakuguide.com/images/places/546/flagman-2-1.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/546-flagman-2
Georgia Inn,"İnşaatçılar pr., 31",012 5370632,Gürcü,Restoranlar,11:00-00:00,15-20,Banketlərin qəbulu; Biznes lanç; Fon musiqisi; İçkilər; Wi-Fi; Kredit kartla ödəniş; Masaların sifarişi; Sigaret çəkməyən və çəkənlər üçün masalar; Sərbəst Wi-Fi; Park xidməti,"Böyük qürur hissi ilə Spice İnn restoranımızın açılışını elan edirik. Sizi özünəməxsus Hind və Avropa mətbəxindən - səhər yeməyi, nahar və şamdan zövq almağa dəvət edirik. Ümid edirik ki, bəyənib,  təkrarən restoranımıza gələcəksiniz.",https://www.facebook.com/pages/Georgia-Inn/1387675541453839?sk=timeline,,,,,40.3779381,49.8204222,https://bakuguide.com/images/places/549/georgia-inn-1.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/549-georgia-inn
Georgian Home,"Mirzə İbrahimov küç., 18",050 3675805,,Restoranlar,,,,,,,,,,,,,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/550-georgian-home
Nani Georgian House,"Azərbaycan, Bakı, Nobel prospekti 15, Megafun, ikinci mərtəbə.",012 4937003; 050 881 00 00,Gürcü,Restoranlar,,,Fon musiqisi; İçkilər,"Azure” ticarət mərkəzində açılmış gürcü mətbəxinin yeni Georgian House restoranı artıq öz müştərilərini gözləyir. Restoranın əsas
ruhlandırıcısı və baş aşpazı Nana Qiknadze Bakıda Gürcüstanın bir hissəciyini yenidən yaradan əsl gürcüdür və sadəcə çox gözəl qadındır. Georgian House” restoranında siz dostlarla yüngüllüklə qəlyanaltı və ya nahar edə, və ya ailə dairəsində şam yeməyini keçirə biləcəksiniz. Restoranın menyusu öz qonaqlarını kifayət qədər demokratik qiymətlərlə, şərab xəritəsi isə gürcü şərablarının öz geniş seçimi ilə sevindirəcək.  Georgian House” restoranında hər şey Gürcüstanın ruhu ilə nəfəs alır. Burada sizin təşrifinizə həmişə şad olacaqlar.",https://www.facebook.com/pg/nanigeorgianhouse,,,,,40.3781404,49.8740995,https://bakuguide.com/images/places/552/georgian-house-1.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/552-nani-georgian-house
Goyche,"Azadlıq pr.,78",012 4410205,,Restoranlar,,,,,,,,,,,,,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/555-goyche
Gala Bazaar,"Sergey Yesenin 102B, Mərdəkan qəsəbəsi",050 2406600; 050 5197227,Avropa,Publar & Barlar,10:00 - 03:00,,Biznes lanç; Canlı musiqi; Fon musiqisi; İçkilər; Yay terrası; Wi-Fi; VİP otaq; Kredit kartla ödəniş; Masaların sifarişi; Qəlyan; Sərbəst Wi-Fi; Park xidməti,"Gala Bazaar -orta əsrlər ruhunda yaradılmış nadir yaradıcı və tarixi mərkəzdir. Burada restoran və konsert, qlobal rəqs festivalları, irirmiqyaslı sərgilər, ekspozisiyalar, teatral performanslar, fashion və başqa tədbirlərin keçirilməsi üçün nəzərdə tutulmuş meydan var.",https://www.facebook.com/GalaBazaar/timeline,,,,,,,https://bakuguide.com/images/places/570/gala-bazaar-1.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/570-gala-bazaar
Sky Bar & Lounge,"Nizami 96, Landmark III 19-cu mərtəbə",012 4652000,Avropa; Qəlyanaltı,Publar & Barlar,08:00 - 00:00,10-15,Canlı musiqi; Fon musiqisi; İçkilər; Kredit kartla ödəniş; Masaların sifarişi; Sigaret çəkməyən və çəkənlər üçün masalar,,https://www.facebook.com/skybarandlounge/timeline,,,,,40.372944,49.840395,https://bakuguide.com/images/places/599/sky-bar-lounge-1.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/599-sky-bar-lounge
İstirahət,"Naxçıvani keç., 24",012 5615565,,Restoranlar,,,,,,,,,,,,,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/656-istirahet
KAPRIZ,"Təbriz küç., 107",012 5144542,Avropa,Restoranlar,09:00-00:00,,Biznes lanç; Fon musiqisi; İçkilər; Wi-Fi; Vip zona; Karaoke; Masaların sifarişi; Take Away,,https://www.facebook.com/pages/Kapriz-Restoran/149560718520432?sk=timeline,,,,,40.4016732,49.8687391,https://bakuguide.com/images/places/657/kapriz-1.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/657-kapriz
Kenga,"Abdulla Şaiq küç., məhəllə 616",012 5963546,,Restoranlar,,,,,,,,,,,,,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/658-kenga
Konya,"İstiqlaliyyət küç., 31",012 4924733,,Restoranlar,,,,,,,,,,,,,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/659-konya
La Marrakesh,"Cəfərov Qardaşları küç., 9",012 4926872; 050 4903434,Avropa; Mərakəş; Ərəb,Restoranlar,12:00-00:00,25-30,Biznes lanç; Fon musiqisi; İçkilər; Wi-Fi; Vip zona; Karaoke; Masaların sifarişi; Qəlyan; Sərbəst Wi-Fi; Kiçik Kinoteatr,"Bizim restoranda ad günləri, yubileylər, banketlər, sizin sevimli Dj -inizin iştirakı ilə əyləncə gecələri keçirmək olar. Restoranın təcrübəli heyəti isə sizi razı salacaq. Məkanın birinci mərtəbəsi ev əhaval ruhiyyəsində hazırlanmışdır və şərq üslubundadır. İkinci mərtəbədə şərq klub üslubu yaradılıb. Sizə əla dadlı qəlyan, hər növ çay, 12:00-15:00 arası cəmi 7 AZN -ə biznes lanç təqdim olunur.",,,,http://4sq.com/a4W4dD,,40.365555,49.828113,,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/660-la-marrakesh
Laçin,"Dilarə Əliyeva küç., 200",012 4933500,,Restoranlar,,,,,,,,,,,,,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/661-lacin
Lalə,"Fətəli xan Xoyski küç., 109",012 4656205,,Restoranlar,,,,,,,,,,,,,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/662-lale
Le Cafe,"Səftər Quliyev küç., 7",012 4972497,Fransız,Restoranlar,11:00-00:00,,Fon musiqisi,"Qeyri-adi, cazibədar görünüşdə, incə zövqlə, Fransız üslubda dizayn olunmuş Le Cafedə özünüzü Parisdəki kimi hiss edəcəksiniz. Le Cafenin fərqi xidmətində və ləziz çeşitlərindədir.",https://www.facebook.com/LeCafeBaku/timeline,,,,,40.3669158,49.8376724,https://bakuguide.com/images/places/663/le-cafe-1.png; https://bakuguide.com/images/places/663/le-cafe-2.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/663-le-cafe
Lord Sigara House,"Yusif Səfərov küç.,23/A",012 4964999; 050 4964999,Avropa,Restoranlar,12:00 - 00:00,45-55,Fon musiqisi; İçkilər; Wi-Fi; VİP otaq; Vip zona; Kredit kartla ödəniş; Masaların sifarişi; Sərbəst Wi-Fi,"Yaxşı mətbəx dadını hiss etmək üçün yemək seçimini mövsümə uyğunlaşdırmaq lazımdır. Hər bir məhsul öz vaxtında qəbul edilməlidir, hər bir mövsümün öz xüsusi atmosferi, ritmi və əhval-ruhiyyəsi var. Bizim restoranda verilən yeməklərin əksəriyyəti müəyyən xüsusi dada malikdir.
Qeyd etmək lazımdır ki, yeməklər müxtəlif mətbəxlərin ənənələri əsasında hazırlanmış müəllif yaradıcılığıdır.Axı baş aşpazın əsas işi xüsusi atmosfer yaratmaqdır və bunun köməyi ilə qonağımız çoxdan gözlədiyi rahatlıq və sakitlik əldə edəcək.",,,,,,40.384354,49.8634664,https://bakuguide.com/images/places/664/lord-sigara-house-1.png; https://bakuguide.com/images/places/664/lord-sigara-house-2.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/664-lord-sigara-house
MORE Restaurant & Lounge Bar,"Ceyhun Hacıbəyli küç., 55",055 2035225,,Restoranlar,,,,,,,,,,,,,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/665-more-restaurant-lounge-bar
